polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
1281;positive;FOOD#STYLE_OPTIONS;buffet;4:10;The buffet had a nice selection.;buffet nice selection;[(('had', 'VBD'), 'nsubj', ('buffet', 'NN')), (('buffet', 'NN'), 'det', ('The', 'DT')), (('had', 'VBD'), 'dobj', ('selection', 'NN')), (('selection', 'NN'), 'det', ('a', 'DT')), (('selection', 'NN'), 'amod', ('nice', 'JJ'))];buffet had the;buffet had the
1282;positive;AMBIENCE#GENERAL;ambiance;57:65;The view is breathtaking the service is top notch... the ambiance is wonderfull.;view breathtaking service top notch ambiance wonderfull;[(('breathtaking', 'JJ'), 'nsubj', ('view', 'NN')), (('view', 'NN'), 'det', ('The', 'DT')), (('breathtaking', 'JJ'), 'cop', ('is', 'VBZ')), (('breathtaking', 'JJ'), 'acl:relcl', ('notch', 'NN')), (('notch', 'NN'), 'nsubj', ('service', 'NN')), (('service', 'NN'), 'det', ('the', 'DT')), (('notch', 'NN'), 'cop', ('is', 'VBZ')), (('notch', 'NN'), 'amod', ('top', 'JJ')), (('notch', 'NN'), 'dep', ('ambiance', 'NN')), (('ambiance', 'NN'), 'det', ('the', 'DT')), (('ambiance', 'NN'), 'acl:relcl', ('wonderfull', 'JJ')), (('wonderfull', 'JJ'), 'cop', ('is', 'VBZ'))];ambiance notch the wonderfull;ambiance is the
1283;negative;SERVICE#GENERAL;service;64:71;Considering you will spend at least $60 a head, I expect better service. ;considering spend least head expect better service;[(('spend', 'VB'), 'nmod', ('you', 'PRP')), (('you', 'PRP'), 'case', ('Considering', 'VBG')), (('spend', 'VB'), 'aux', ('will', 'MD')), (('spend', 'VB'), 'advmod', ('at', 'IN')), (('at', 'IN'), 'mwe', ('least', 'JJS')), (('spend', 'VB'), 'nsubj', ('head', 'NN')), (('head', 'NN'), 'det', ('a', 'DT')), (('head', 'NN'), 'acl:relcl', ('expect', 'VBP')), (('expect', 'VBP'), 'nsubj', ('I', 'PRP')), (('expect', 'VBP'), 'dobj', ('service', 'NN')), (('service', 'NN'), 'amod', ('better', 'JJR'))];service expect better;service expect better
1284;negative;FOOD#QUALITY;chicken casserole;15:32;We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.;ordered chicken casserole but got small pieces chicken dark meat bone;[(('ordered', 'VBD'), 'nsubj', ('We', 'PRP')), (('ordered', 'VBD'), 'ccomp', ('pieces', 'NNS')), (('pieces', 'NNS'), 'nsubj', ('casserole', 'NN')), (('casserole', 'NN'), 'det', ('the', 'DT')), (('casserole', 'NN'), 'compound', ('chicken', 'NN')), (('casserole', 'NN'), 'acl', ('got', 'VBD')), (('got', 'VBD'), 'mark', ('but', 'IN')), (('got', 'VBD'), 'dobj', ('what', 'WP')), (('got', 'VBD'), 'nsubj', ('we', 'PRP')), (('pieces', 'NNS'), 'cop', ('were', 'VBD')), (('pieces', 'NNS'), 'det', ('a', 'DT')), (('pieces', 'NNS'), 'amod', ('few', 'JJ')), (('pieces', 'NNS'), 'amod', ('small', 'JJ')), (('pieces', 'NNS'), 'nmod', ('chicken', 'NN')), (('chicken', 'NN'), 'case', ('of', 'IN')), (('chicken', 'NN'), 'dep', ('meat', 'NN')), (('meat', 'NN'), 'det', ('all', 'DT')), (('meat', 'NN'), 'amod', ('dark', 'JJ')), (('meat', 'NN'), 'cc', ('and', 'CC')), (('meat', 'NN'), 'conj', ('bone', 'NN')), (('bone', 'NN'), 'case', ('on', 'IN')), (('bone', 'NN'), 'det', ('the', 'DT'))];chicken casserole pieces of meat casserole pieces the chicken got;chicken casserole casserole ordered the chicken chicken of
1285;positive;AMBIENCE#GENERAL;Thalia;0:6;Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.;thalia beautiful restaurant beautiful people serving but food doesn quite match;[(('restaurant', 'NN'), 'nsubj', ('Thalia', 'NNP')), (('restaurant', 'NN'), 'cop', ('is', 'VBZ')), (('restaurant', 'NN'), 'det', ('a', 'DT')), (('restaurant', 'NN'), 'amod', ('beautiful', 'JJ')), (('restaurant', 'NN'), 'nmod', ('people', 'NNS')), (('people', 'NNS'), 'case', ('with', 'IN')), (('people', 'NNS'), 'amod', ('beautiful', 'JJ')), (('people', 'NNS'), 'acl', ('serving', 'VBG')), (('serving', 'VBG'), 'dobj', ('you', 'PRP')), (('serving', 'VBG'), 'dep', ('match', 'VBP')), (('match', 'VBP'), 'cc', ('but', 'CC')), (('match', 'VBP'), 'nsubj', ('t', 'NN')), (('t', 'NN'), 'det', ('the', 'DT')), (('t', 'NN'), 'compound', ('food', 'NN')), (('t', 'NN'), 'compound', ('doesn', 'NN')), (('match', 'VBP'), 'advmod', ('quite', 'RB')), (('match', 'VBP'), 'compound:prt', ('up', 'RP'))];thalia restaurant;thalia is
1286;positive;SERVICE#GENERAL;service;57:64;Excellent atmosphere, delicious dishes good and friendly service.;excellent atmosphere delicious dishes good friendly service;[(('atmosphere', 'NN'), 'amod', ('Excellent', 'JJ')), (('atmosphere', 'NN'), 'dep', ('dishes', 'NNS')), (('dishes', 'NNS'), 'amod', ('delicious', 'JJ')), (('dishes', 'NNS'), 'dep', ('service', 'NN')), (('service', 'NN'), 'amod', ('good', 'JJ')), (('good', 'JJ'), 'cc', ('and', 'CC')), (('good', 'JJ'), 'conj', ('friendly', 'JJ'))];service dishes good;service atmosphere good
1287;positive;RESTAURANT#GENERAL;Ginger House;14:26;Have eaten at Ginger House several times, and it's always good.;eaten ginger house several times always good;[(('eaten', 'VBN'), 'aux', ('Have', 'VB')), (('eaten', 'VBN'), 'nmod', ('House', 'NNP')), (('House', 'NNP'), 'case', ('at', 'IN')), (('House', 'NNP'), 'compound', ('Ginger', 'NNP')), (('eaten', 'VBN'), 'dobj', ('times', 'NNS')), (('times', 'NNS'), 'amod', ('several', 'JJ')), (('eaten', 'VBN'), 'cc', ('and', 'CC')), (('eaten', 'VBN'), 'conj', ('good', 'JJ')), (('good', 'JJ'), 'nsubj', ('it', 'PRP')), (('good', 'JJ'), 'cop', ('s', 'VBZ')), (('good', 'JJ'), 'advmod', ('always', 'RB'))];ginger house house eaten at ginger;ginger house house at ginger
1288;negative;FOOD#STYLE_OPTIONS;menu;8:12;limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ;limited menu no fresh ingredients thinly sliced fish fall apart rice;[(('sliced', 'VBD'), 'nsubj', ('menu', 'NN')), (('menu', 'NN'), 'amod', ('limited', 'JJ')), (('menu', 'NN'), 'amod', ('thinly', 'JJ')), (('thinly', 'JJ'), 'advmod', ('so', 'RB')), (('so', 'RB'), 'neg', ('no', 'RB')), (('thinly', 'JJ'), 'nmod:npmod', ('ingredients', 'NNS')), (('ingredients', 'NNS'), 'amod', ('fresh', 'JJ')), (('sliced', 'VBD'), 'advmod', ('fish', 'RB')), (('sliced', 'VBD'), 'dep', ('fall', 'VB')), (('fall', 'VB'), 'compound:prt', ('apart', 'RP')), (('fall', 'VB'), 'dobj', ('rice', 'NN'))];menu sliced limited thinly;menu menu limited
1289;positive;LOCATION#GENERAL;views of the city;57:74;The waiter was attentive, the food was delicious and the views of the city were great.;waiter attentive food delicious views city great;[(('attentive', 'JJ'), 'nsubj', ('waiter', 'NN')), (('waiter', 'NN'), 'det', ('The', 'DT')), (('attentive', 'JJ'), 'cop', ('was', 'VBD')), (('attentive', 'JJ'), 'ccomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'cc', ('and', 'CC')), (('delicious', 'JJ'), 'conj', ('great', 'JJ')), (('great', 'JJ'), 'nsubj', ('views', 'NNS')), (('views', 'NNS'), 'det', ('the', 'DT')), (('views', 'NNS'), 'nmod', ('city', 'NN')), (('city', 'NN'), 'case', ('of', 'IN')), (('city', 'NN'), 'det', ('the', 'DT')), (('great', 'JJ'), 'cop', ('were', 'VBD'))];views great the city of city the food views city city views of the;the food the views views were the of of views city the city city of the
1290;negative;SERVICE#GENERAL;Service;0:7;Service ok but unfriendly,filthy bathroom.;service ok but unfriendly filthy bathroom;[(('ok', 'NNP'), 'compound', ('Service', 'NNP')), (('ok', 'NNP'), 'nmod', ('bathroom', 'NN')), (('bathroom', 'NN'), 'case', ('but', 'CC')), (('bathroom', 'NN'), 'amod', ('unfriendly', 'JJ')), (('bathroom', 'NN'), 'amod', ('filthy', 'JJ'))];service ok;service ok
1291;negative;FOOD#QUALITY;soy sauce;56:65;the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ;things u could really taste salty soy sauce even low sodium vinegar soaked rice scallion top fish;[(('taste', 'VB'), 'nsubj', ('u', 'NN')), (('u', 'NN'), 'det', ('the', 'DT')), (('u', 'NN'), 'amod', ('only', 'JJ')), (('u', 'NN'), 'compound', ('things', 'NNS')), (('taste', 'VB'), 'aux', ('could', 'MD')), (('taste', 'VB'), 'advmod', ('really', 'RB')), (('taste', 'VB'), 'ccomp', ('sauce', 'NN')), (('sauce', 'NN'), 'cop', ('are', 'VBP')), (('sauce', 'NN'), 'det', ('the', 'DT')), (('sauce', 'NN'), 'amod', ('salty', 'JJ')), (('salty', 'JJ'), 'advmod', ('very', 'RB')), (('sauce', 'NN'), 'compound', ('soy', 'NN')), (('sauce', 'NN'), 'dep', ('soaked', 'VBD')), (('soaked', 'VBD'), 'advmod', ('even', 'RB')), (('soaked', 'VBD'), 'nsubj', ('sodium', 'NN')), (('sodium', 'NN'), 'nmod:poss', ('its', 'PRP$')), (('sodium', 'NN'), 'amod', ('low', 'JJ')), (('sodium', 'NN'), 'dep', ('vinegar', 'NN')), (('vinegar', 'NN'), 'det', ('the', 'DT')), (('soaked', 'VBD'), 'dobj', ('rice', 'NN')), (('rice', 'NN'), 'cc', ('and', 'CC')), (('rice', 'NN'), 'conj', ('scallion', 'NN')), (('scallion', 'NN'), 'det', ('the', 'DT')), (('soaked', 'VBD'), 'nmod', ('top', 'NN')), (('top', 'NN'), 'case', ('on', 'IN')), (('top', 'NN'), 'nmod', ('fish', 'NN')), (('fish', 'NN'), 'case', ('of', 'IN')), (('fish', 'NN'), 'det', ('the', 'DT'))];soy sauce sauce taste are the salty soy soaked;soy sauce sauce are the salty soy sodium
1292;positive;RESTAURANT#GENERAL;Patsy's Pizza;0:13;Patsy's Pizza = true love;patsy pizza true love;[(('love', 'NN'), 'nsubj', ('Patsy', 'NNP')), (('love', 'NN'), 'cop', ('s', 'VBZ')), (('love', 'NN'), 'compound', ('Pizza', 'NNP')), (('love', 'NN'), 'amod', ('true', 'JJ'))];patsy love 's pizza love;patsy love s pizza love
1293;positive;FOOD#QUALITY;halibut special;32:47;The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.;food delicious halibut special husband steak service top notch;[(('delicious', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('delicious', 'JJ'), 'cop', ('was', 'VBD')), (('delicious', 'JJ'), 'ccomp', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('I', 'PRP')), (('had', 'VBD'), 'dobj', ('special', 'NN')), (('special', 'NN'), 'det', ('a', 'DT')), (('special', 'NN'), 'amod', ('halibut', 'JJ')), (('special', 'NN'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('husband', 'NN')), (('husband', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('had', 'VBD'), 'dobj', ('steak', 'NN')), (('had', 'VBD'), 'cc', ('and', 'CC')), (('had', 'VBD'), 'conj', ('notch', 'NNS')), (('notch', 'NNS'), 'nsubj', ('service', 'NN')), (('service', 'NN'), 'det', ('the', 'DT')), (('notch', 'NNS'), 'cop', ('was', 'VBD')), (('notch', 'NNS'), 'amod', ('top', 'JJ'))];halibut special special had a halibut had;halibut special special had a halibut steak
1294;positive;FOOD#QUALITY;food;16:20;not only is the food;not food;[(('food', 'NN'), 'dep', ('only', 'JJ')), (('only', 'JJ'), 'neg', ('not', 'RB')), (('food', 'NN'), 'cop', ('is', 'VBZ')), (('food', 'NN'), 'det', ('the', 'DT'))];food only is the;food is the
1295;positive;FOOD#QUALITY;braised rabbit;87:101;The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.;pastas incredible risottos particularly sepia fantastic braised rabbit amazing;[(('incredible', 'JJ'), 'nsubj', ('pastas', 'NNS')), (('pastas', 'NNS'), 'det', ('The', 'DT')), (('incredible', 'JJ'), 'cop', ('are', 'VBP')), (('incredible', 'JJ'), 'ccomp', ('fantastic', 'JJ')), (('fantastic', 'JJ'), 'nsubj', ('risottos', 'NNS')), (('risottos', 'NNS'), 'det', ('the', 'DT')), (('fantastic', 'JJ'), 'advmod', ('particularly', 'RB')), (('particularly', 'RB'), 'nmod:npmod', ('sepia', 'NN')), (('sepia', 'NN'), 'det', ('the', 'DT')), (('fantastic', 'JJ'), 'cop', ('are', 'VBP')), (('fantastic', 'JJ'), 'cc', ('and', 'CC')), (('fantastic', 'JJ'), 'conj', ('amazing', 'JJ')), (('amazing', 'JJ'), 'nsubj', ('rabbit', 'NN')), (('rabbit', 'NN'), 'det', ('the', 'DT')), (('rabbit', 'NN'), 'amod', ('braised', 'JJ')), (('amazing', 'JJ'), 'cop', ('is', 'VBZ'))];braised rabbit rabbit amazing the braised;braised rabbit rabbit is the braised
1296;positive;RESTAURANT#GENERAL;Pastis;29:35;And evaluated on those terms Pastis is simply wonderful.;evaluated terms pastis simply wonderful;[(('evaluated', 'VBN'), 'cc', ('And', 'CC')), (('evaluated', 'VBN'), 'nmod', ('terms', 'NNS')), (('terms', 'NNS'), 'case', ('on', 'IN')), (('terms', 'NNS'), 'det', ('those', 'DT')), (('terms', 'NNS'), 'acl:relcl', ('wonderful', 'JJ')), (('wonderful', 'JJ'), 'nsubj', ('Pastis', 'NNP')), (('wonderful', 'JJ'), 'cop', ('is', 'VBZ')), (('wonderful', 'JJ'), 'advmod', ('simply', 'RB'))];pastis wonderful;pastis is
1297;positive;FOOD#QUALITY;food;4:8;The food is good, especially their more basic dishes, and the drinks are delicious.;food good especially basic dishes drinks delicious;[(('good', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('good', 'JJ'), 'cop', ('is', 'VBZ')), (('good', 'JJ'), 'advmod', ('especially', 'RB')), (('good', 'JJ'), 'ccomp', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('dishes', 'NNS')), (('dishes', 'NNS'), 'nmod:poss', ('their', 'PRP$')), (('dishes', 'NNS'), 'amod', ('more', 'JJR')), (('dishes', 'NNS'), 'amod', ('basic', 'JJ')), (('dishes', 'NNS'), 'cc', ('and', 'CC')), (('dishes', 'NNS'), 'conj', ('drinks', 'NNS')), (('drinks', 'NNS'), 'det', ('the', 'DT')), (('delicious', 'JJ'), 'cop', ('are', 'VBP'))];food good the;food is the dishes
1298;positive;FOOD#QUALITY;salad;16:21;By far the best salad I have had in a fast food restaurant.;far best salad fast food restaurant;[(('salad', 'NN'), 'dep', ('far', 'RB')), (('far', 'RB'), 'advmod', ('By', 'RB')), (('salad', 'NN'), 'det', ('the', 'DT')), (('salad', 'NN'), 'amod', ('best', 'JJS')), (('salad', 'NN'), 'acl:relcl', ('had', 'VBN')), (('had', 'VBN'), 'nsubj', ('I', 'PRP')), (('had', 'VBN'), 'aux', ('have', 'VBP')), (('had', 'VBN'), 'nmod', ('restaurant', 'NN')), (('restaurant', 'NN'), 'case', ('in', 'IN')), (('restaurant', 'NN'), 'det', ('a', 'DT')), (('restaurant', 'NN'), 'amod', ('fast', 'JJ')), (('restaurant', 'NN'), 'compound', ('food', 'NN'))];salad far the best had;salad by the best had
1299;positive;AMBIENCE#GENERAL;patio;89:94;Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.;regardless back wait visit summer take advantage patio;[(('Regardless', 'VB'), 'ccomp', ('be', 'VB')), (('be', 'VB'), 'nsubj', ('we', 'PRP')), (('be', 'VB'), 'aux', ('ll', 'VBP')), (('be', 'VB'), 'advmod', ('back', 'RB')), (('be', 'VB'), 'cc', ('and', 'CC')), (('be', 'VB'), 'conj', ('wait', 'VB')), (('wait', 'VB'), 'aux', ('can', 'MD')), (('wait', 'VB'), 'advmod', ('t', 'RB')), (('wait', 'VB'), 'xcomp', ('visit', 'VB')), (('visit', 'VB'), 'mark', ('to', 'TO')), (('visit', 'VB'), 'nmod', ('summer', 'NN')), (('summer', 'NN'), 'case', ('in', 'IN')), (('summer', 'NN'), 'det', ('the', 'DT')), (('summer', 'NN'), 'acl', ('take', 'VB')), (('take', 'VB'), 'mark', ('to', 'TO')), (('take', 'VB'), 'dobj', ('advantage', 'NN')), (('advantage', 'NN'), 'nmod', ('patio', 'NN')), (('patio', 'NN'), 'case', ('of', 'IN')), (('patio', 'NN'), 'det', ('the', 'DT'))];patio advantage of the;patio of the
1300;positive;AMBIENCE#GENERAL;outdoor seating;45:60;Warm and friendly in the winter and terrific outdoor seating in the warmer months.;warm friendly winter terrific outdoor seating warmer months;[(('Warm', 'VBN'), 'cc', ('and', 'CC')), (('Warm', 'VBN'), 'conj', ('friendly', 'JJ')), (('friendly', 'JJ'), 'nmod', ('winter', 'NN')), (('winter', 'NN'), 'case', ('in', 'IN')), (('winter', 'NN'), 'det', ('the', 'DT')), (('winter', 'NN'), 'cc', ('and', 'CC')), (('winter', 'NN'), 'conj', ('seating', 'NN')), (('seating', 'NN'), 'amod', ('terrific', 'JJ')), (('seating', 'NN'), 'amod', ('outdoor', 'JJ')), (('seating', 'NN'), 'nmod', ('months', 'NNS')), (('months', 'NNS'), 'case', ('in', 'IN')), (('months', 'NNS'), 'det', ('the', 'DT')), (('months', 'NNS'), 'amod', ('warmer', 'JJR'))];outdoor seating seating winter terrific outdoor months;outdoor seating the winter seating in outdoor in
1301;positive;FOOD#QUALITY;crust;4:9;the crust was imazingly cooked well and pizza was fully loaded:):):);crust imazingly cooked well pizza fully loaded;[(('cooked', 'VBN'), 'nsubjpass', ('crust', 'NN')), (('crust', 'NN'), 'det', ('the', 'DT')), (('cooked', 'VBN'), 'auxpass', ('was', 'VBD')), (('cooked', 'VBN'), 'advmod', ('imazingly', 'RB')), (('cooked', 'VBN'), 'advmod', ('well', 'RB')), (('cooked', 'VBN'), 'cc', ('and', 'CC')), (('cooked', 'VBN'), 'conj', ('loaded', 'VBN')), (('loaded', 'VBN'), 'nsubjpass', ('pizza', 'NN')), (('loaded', 'VBN'), 'auxpass', ('was', 'VBD')), (('loaded', 'VBN'), 'advmod', ('fully', 'RB'))];crust cooked the;crust cooked the
1302;negative;FOOD#STYLE_OPTIONS;rice;70:74;limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ;limited menu no fresh ingredients thinly sliced fish fall apart rice;[(('sliced', 'VBD'), 'nsubj', ('menu', 'NN')), (('menu', 'NN'), 'amod', ('limited', 'JJ')), (('menu', 'NN'), 'amod', ('thinly', 'JJ')), (('thinly', 'JJ'), 'advmod', ('so', 'RB')), (('so', 'RB'), 'neg', ('no', 'RB')), (('thinly', 'JJ'), 'nmod:npmod', ('ingredients', 'NNS')), (('ingredients', 'NNS'), 'amod', ('fresh', 'JJ')), (('sliced', 'VBD'), 'advmod', ('fish', 'RB')), (('sliced', 'VBD'), 'dep', ('fall', 'VB')), (('fall', 'VB'), 'compound:prt', ('apart', 'RP')), (('fall', 'VB'), 'dobj', ('rice', 'NN'))];rice fall;rice sliced
1303;positive;SERVICE#GENERAL;service;6:13;Great service, great food.;great service great food;[(('service', 'NN'), 'amod', ('Great', 'JJ')), (('service', 'NN'), 'dep', ('food', 'NN')), (('food', 'NN'), 'amod', ('great', 'JJ'))];service great food;service food great
1304;positive;FOOD#QUALITY;chicken;78:85;Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.;small servings main entree salmon wasnt impressed girlfriend chicken good;[(('had', 'VBD'), 'nsubj', ('servings', 'NNS')), (('servings', 'NNS'), 'amod', ('Small', 'JJ')), (('servings', 'NNS'), 'nmod', ('i', 'FW')), (('i', 'FW'), 'case', ('for', 'IN')), (('i', 'FW'), 'compound', ('main', 'FW')), (('i', 'FW'), 'compound', ('entree', 'FW')), (('i', 'FW'), 'acl', ('had', 'VBN')), (('had', 'VBN'), 'dobj', ('wasnt', 'NN')), (('wasnt', 'NN'), 'compound', ('salmon', 'NN')), (('wasnt', 'NN'), 'acl', ('impressed', 'VBN')), (('impressed', 'VBN'), 'dobj', ('girlfriend', 'NN')), (('had', 'VBD'), 'dobj', ('chicken', 'NN')), (('chicken', 'NN'), 'acl:relcl', ('good', 'JJ')), (('good', 'JJ'), 'nsubj', ('it', 'PRP')), (('good', 'JJ'), 'cop', ('was', 'VBD'))];chicken had good;chicken chicken girlfriend had was
1305;negative;FOOD#QUALITY;porcini mushroom pasta special;4:34;The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.;porcini mushroom pasta special tasteless seafood tagliatelle;[(('tasteless', 'JJ'), 'nsubj', ('special', 'NN')), (('special', 'NN'), 'det', ('The', 'DT')), (('special', 'NN'), 'amod', ('porcini', 'JJ')), (('special', 'NN'), 'compound', ('mushroom', 'NN')), (('special', 'NN'), 'compound', ('pasta', 'NN')), (('tasteless', 'JJ'), 'cop', ('was', 'VBD')), (('tasteless', 'JJ'), 'advmod', ('so', 'RB')), (('tasteless', 'JJ'), 'ccomp', ('tagliatelle', 'NN')), (('tagliatelle', 'NN'), 'cop', ('was', 'VBD')), (('tagliatelle', 'NN'), 'det', ('the', 'DT')), (('tagliatelle', 'NN'), 'compound', ('seafood', 'NN'))];porcini special mushroom special pasta special special tasteless the porcini mushroom pasta;porcini special mushroom pasta pasta special mushroom special was the porcini pasta
1306;positive;DRINKS#QUALITY;drinks;32:38;"Everything was wonderful; food, drinks, staff, mileau.";everything wonderful food drinks staff mileau;[(('drinks', 'NNS'), 'nsubj', ('Everything', 'NNP')), (('drinks', 'NNS'), 'cop', ('was', 'VBD')), (('drinks', 'NNS'), 'amod', ('wonderful', 'JJ')), (('drinks', 'NNS'), 'compound', ('food', 'NN')), (('drinks', 'NNS'), 'amod', ('mileau', 'JJ')), (('mileau', 'JJ'), 'nmod:npmod', ('staff', 'NN'))];drinks everything was wonderful food mileau;drinks staff food
1307;positive;RESTAURANT#GENERAL;place;4:9;The place is a bit hidden away, but once you get there, it's all worth it.;place bit hidden away but get worth;[(('s', 'VBZ'), 'dep', ('bit', 'NN')), (('bit', 'NN'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('The', 'DT')), (('bit', 'NN'), 'cop', ('is', 'VBZ')), (('bit', 'NN'), 'det', ('a', 'DT')), (('bit', 'NN'), 'acl', ('hidden', 'VBN')), (('hidden', 'VBN'), 'compound:prt', ('away', 'RP')), (('bit', 'NN'), 'cc', ('but', 'CC')), (('bit', 'NN'), 'conj', ('get', 'VBP')), (('get', 'VBP'), 'advmod', ('once', 'RB')), (('get', 'VBP'), 'nsubj', ('you', 'PRP')), (('get', 'VBP'), 'xcomp', ('it', 'PRP')), (('it', 'PRP'), 'expl', ('there', 'EX')), (('s', 'VBZ'), 'advmod', ('all', 'RB')), (('s', 'VBZ'), 'xcomp', ('worth', 'JJ')), (('s', 'VBZ'), 'nsubj', ('it', 'PRP'))];place bit the;place is the
1308;negative;RESTAURANT#MISCELLANEOUS;Thai restaurant;2:17;A Thai restaurant out of rice during dinner?;thai restaurant rice dinner;[(('restaurant', 'NN'), 'det', ('A', 'DT')), (('restaurant', 'NN'), 'compound', ('Thai', 'NNP')), (('restaurant', 'NN'), 'nmod', ('rice', 'NN')), (('rice', 'NN'), 'advmod', ('out', 'RB')), (('rice', 'NN'), 'case', ('of', 'IN')), (('restaurant', 'NN'), 'dep', ('dinner', 'NN')), (('dinner', 'NN'), 'case', ('during', 'IN'))];thai restaurant restaurant a thai rice dinner;thai restaurant restaurant restaurant a thai out during
1309;positive;RESTAURANT#GENERAL;place;24:29;In any event, this is a place I'll be sure to stop by again when I'm in this part of town.;event place sure stop part town;[(('place', 'NN'), 'nmod', ('event', 'NN')), (('event', 'NN'), 'case', ('In', 'IN')), (('event', 'NN'), 'det', ('any', 'DT')), (('place', 'NN'), 'nsubj', ('this', 'DT')), (('place', 'NN'), 'cop', ('is', 'VBZ')), (('place', 'NN'), 'det', ('a', 'DT')), (('place', 'NN'), 'acl:relcl', ('sure', 'JJ')), (('sure', 'JJ'), 'nsubj', ('I', 'PRP')), (('sure', 'JJ'), 'aux', ('ll', 'VBP')), (('sure', 'JJ'), 'cop', ('be', 'VB')), (('sure', 'JJ'), 'xcomp', ('stop', 'VB')), (('stop', 'VB'), 'mark', ('to', 'TO')), (('stop', 'VB'), 'advcl', ('again', 'RB')), (('again', 'RB'), 'case', ('by', 'IN')), (('sure', 'JJ'), 'advcl', ('part', 'NN')), (('part', 'NN'), 'advmod', ('when', 'WRB')), (('part', 'NN'), 'nsubj', ('I', 'PRP')), (('part', 'NN'), 'cop', ('m', 'VBP')), (('part', 'NN'), 'case', ('in', 'IN')), (('part', 'NN'), 'det', ('this', 'DT')), (('part', 'NN'), 'nmod', ('town', 'NN')), (('town', 'NN'), 'case', ('of', 'IN'))];place event this is a sure;place is a be
1310;negative;FOOD#QUALITY;raw vegatables in side orders;76:105;Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.;food usually good though ocasionally wondered freshmess raw vegatables side orders;[(('good', 'JJ'), 'nsubj', ('Food', 'NNP')), (('good', 'JJ'), 'cop', ('is', 'VBZ')), (('good', 'JJ'), 'advmod', ('usually', 'RB')), (('good', 'JJ'), 'advmod', ('very', 'RB')), (('good', 'JJ'), 'advcl', ('wondered', 'VBD')), (('wondered', 'VBD'), 'mark', ('though', 'IN')), (('wondered', 'VBD'), 'advmod', ('ocasionally', 'RB')), (('wondered', 'VBD'), 'nsubj', ('I', 'PRP')), (('wondered', 'VBD'), 'nmod', ('freshmess', 'NNS')), (('freshmess', 'NNS'), 'case', ('about', 'IN')), (('freshmess', 'NNS'), 'nmod', ('vegatables', 'NNS')), (('vegatables', 'NNS'), 'case', ('of', 'IN')), (('vegatables', 'NNS'), 'amod', ('raw', 'JJ')), (('wondered', 'VBD'), 'nmod', ('orders', 'NNS')), (('orders', 'NNS'), 'case', ('in', 'IN')), (('orders', 'NNS'), 'compound', ('side', 'NN'))];raw vegatables vegatables freshmess of raw in orders side orders orders wondered in side;raw vegatables vegatables of raw in freshmess orders side orders orders in side
1311;negative;SERVICE#GENERAL;service;5:12;Rude service, medicore food...there are tons of restaurants in NY...stay away from this one;rude service medicore food tons restaurants ny stay away one;[(('stay', 'VBP'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'compound', ('Rude', 'NNP')), (('food', 'NN'), 'compound', ('service', 'NN')), (('food', 'NN'), 'compound', ('medicore', 'NN')), (('food', 'NN'), 'acl:relcl', ('are', 'VBP')), (('are', 'VBP'), 'expl', ('there', 'EX')), (('are', 'VBP'), 'nsubj', ('tons', 'NNS')), (('tons', 'NNS'), 'nmod', ('restaurants', 'NNS')), (('restaurants', 'NNS'), 'case', ('of', 'IN')), (('restaurants', 'NNS'), 'nmod', ('NY', 'NNP')), (('NY', 'NNP'), 'case', ('in', 'IN')), (('stay', 'VBP'), 'compound:prt', ('away', 'RP')), (('stay', 'VBP'), 'nmod', ('one', 'NN')), (('one', 'NN'), 'case', ('from', 'IN')), (('one', 'NN'), 'det', ('this', 'DT'))];service food;service medicore
